,id,width,npaths,length,fatness,centroid_x,centroid_y,centroid_y_pix,centroid_x_pix,img_x,img_y,N,label
0,0,5.656854249492381,1,118.52691193458114,2.9107313636114704,8.867252199792961,21.12299430641822,22.759420289855072,155.41159420289856,8,20,116,0_8_20
1,1,4.47213595499958,1,103.28427124746186,2.807784733313172,8.274380387931034,20.99518934729064,45.66206896551724,49.16896551724138,8,20,117,1_8_20
0,0,4.47213595499958,1,63.012193308819725,3.459647864209273,1.9763833142201837,12.24850507863696,179.4678899082569,174.9678899082569,1,12,118,0_1_12
0,0,6.0,1,22.242640687119287,2.9223148867230275,40.60010302197802,38.099845467032964,206.1076923076923,107.53846153846153,40,38,119,0_40_38
0,0,7.211102550927978,6,4.414213562373095,55.049443477619704,5.7366990005878895,9.709118716931217,96.92592592592592,132.0164609053498,5,9,120,0_5_9
0,0,7.211102550927978,1,65.6690475583121,5.512490487676939,30.61775478492502,4.12245955011839,202.05524861878453,110.70165745856353,30,4,121,0_30_4
0,0,10.0,1,47.62741699796952,5.669003633170171,36.126488095238095,40.01060267857143,42.9,22.666666666666668,36,39,122,0_36_39
0,0,4.47213595499958,1,47.14213562373094,3.07580465079754,14.060036945812808,2.734413485221675,92.39310344827587,189.95862068965516,13,2,123,0_13_2
0,0,7.211102550927978,1,47.21320343559642,5.6551977110431615,27.184548889780633,1.0721809791332262,31.865168539325843,33.07116104868914,27,0,124,0_27_0
0,0,19.697715603592208,7,15.764765012189546,40.53343005784836,24.39089572155153,19.353143164542814,160.716744913928,70.04851330203442,24,19,125,0_24_19
0,0,10.0,3,46.77074098306307,11.096681153457537,7.725833505367465,4.49696359757776,134.9441233140655,130.0693641618497,7,4,126,0_7_4
0,0,6.0,1,35.14213562373095,3.3008807786191277,33.150044258004925,9.466296567118226,140.43965517241378,26.887931034482758,33,9,127,0_33_9
1,1,4.47213595499958,1,3.8284271247461903,4.179261999419863,33.056849888392854,9.122767857142858,202.0,10.1875,33,9,128,1_33_9
0,0,8.48528137423857,1,29.89949493661167,7.6589922500527425,42.196097161572055,20.91634825327511,59.790393013100434,214.34061135371178,41,20,129,0_41_20
0,0,7.211102550927978,1,33.14213562373095,4.284576033727982,5.842909016599598,39.65989688128773,105.74647887323944,151.04929577464787,5,39,130,0_5_39
1,1,15.231546211727817,3,6.57842712474619,90.59916431361167,5.195415493168744,39.49147403823106,135.9278523489933,35.01845637583892,5,39,131,1_5_39
0,0,4.47213595499958,1,66.08326112068518,3.0416174473127446,1.8529339907604834,1.3137493336886994,167.77611940298507,152.84577114427861,1,1,132,0_1_1
0,0,6.0,1,13.071067811865476,3.3662131230057795,20.668628246753247,5.1983563311688314,188.45454545454547,119.81818181818181,20,5,133,0_20_5
